, 13898.48, 42930.87
2176.52, 33657.76, 56922.06
20508.83, 21224.48, 51031.04
20508.83, 21224.48, 51031.04
20508.83, 21224.48, 51031.04
20508.83, 21224.48, 51031.04
20508.83, 21224.48, 51031.04
20508.83, 21224.48, 51031.04
20508.83, 21224.48, 51031.04
20508.83, 21224.48, 51031.04
25074.21, 10716.90, 45655.47
25074.21, 10716.90, 45655.47
25074.21, 5860.80, 46097.30
25675.85, 5860.80, 46097.30
25675.85, 5860.80, 46097.30
25675.85, 5860.80, 46097.30
25675.85, 5860.80, 46097.30
25675.85, 5860.80, 46097.30
25675.85, 5860.80, 46097.30
25675.85, 5860.80, 46097.30
25675.85, 5860.80, 46097.30
25675.85, 5860.80, 46097.30
24861.87, 2679.22, 41531.75
24861.87, 2679.22, 41531.75
24861.87, 2679.22, 41531.75
24861.87, 2679.22, 41531.75
24861.87, 2679.22, 41531.75
24861.87, 2679.22, 41531.75
24861.87, 2679.22, 41531.75
24861.87, 2679.22, 41531.75
24861.87, 2679.22, 41531.75
24861.87, 2679.22, 41531.75
23410.85, -4856.09, 40206.27
23410.85, -4856.09, 40206.27
23410.85, -4856.09, 40206.27
23410.85, -4856.09, 40206.27
23410.85, -4856.09, 40206.27
23410.85, -4856.09, 40206.27
23410.85, -4856.09, 40206.27
23410.85, -4856.09, 40206.27
23410.85, -4856.09, 40206.27
23410.85, -4856.09, 40206.27
18243.83, -18294.08, 41089.92
18243.83, -18294.08, 41089.92
18243.83, -18294.08, 41089.92
18243.83, -18294.08, 41089.92
-4830.81, -27545.78, 39248.98
-4830.81, -27545.78, 39248.98
-4830.81, -27545.78, 39248.98
-4830.81, -27545.78, 39248.98
-4830.81, -27545.78, 39248.98
-4830.81, -27545.78, 39248.98
-22986.17, -15112.50, 39248.98
-22986.17, -15112.50, 39248.98
-22986.17, -15112.50, 39248.98
-22986.17, -15112.50, 39248.98
-22986.17, -15112.50, 39248.98
-22986.17, -15112.50, 39248.98
-22986.17, -15112.50, 39248.98
-22986.17, -15112.50, 39248.98
-22986.17, -15112.50, 39248.98
-22986.17, -15112.50, 39248.98
-27516.16, 753.53, 49263.73
-27516.16, 753.53, 49263.73
-27516.16, 753.53, 49263.73
-27516.16, 753.53, 49263.73
-27516.16, 753.53, 49263.73
-27516.16, 753.53, 49263.73
-27516.16, 753.53, 49263.73
-27516.16, 753.53, 49263.73
-27516.16, 753.53, 49263.73
-27516.16, 753.53, 49263.73
-27303.81, 2930.40, 50589.21
-27303.81, 2930.40, 50589.21
-27303.81, 2930.40, 50589.21
-27303.81, 2930.40, 50589.21
-27303.81, 2930.40, 50589.21
-27303.81, 2930.40, 50589.21
-27303.81, 2930.40, 50589.21
-27303.81, 2930.40, 50589.21
-27516.16, 4646.78, 49263.73
-27516.16, 4646.78, 49263.73
-27516.16, 11972.78, 47864.61
-25038.82, 11972.78, 47864.61
-25038.82, 11972.78, 47864.61
-25038.82, 11972.78, 47864.61
-25038.82, 11972.78, 47864.61
-25038.82, 11972.78, 47864.61
-25038.82, 11972.78, 47864.61
-25038.82, 11972.78, 47864.61
-25038.82, 11972.78, 47864.61
-25038.82, 11972.78, 47864.61
-15341.81, 23192.04, 43814.52
-15341.81, 23192.04, 43814.52
-15341.81, 23192.04, 43814.52
-15341.81, 23192.04, 43814.52
-15341.81, 23192.04, 43814.52
-15341.81, 23192.04, 43814.52
-15341.81, 23192.04, 43814.52
-15341.81, 23192.04, 43814.52
-15341.81, 23192.04, 43814.52
-15341.81, 23192.04, 43814.52
-1327.15, 28801.66, 44256.35
-1327.15, 28801.66, 44256.35
-1327.15, 28801.66, 44256.35
-1327.15, 28801.66, 44256.35
-1327.15, 28801.66, 44256.35
-1327.15, 28801.66, 44256.35
-1327.15, 28801.66, 44256.35
-1327.15, 28801.66, 44256.35
-1327.15, 28801.66, 44256.35
-1327.15, 28801.66, 44256.35
7343.54, 27336.46, 43372.70
7343.54, 27336.46, 43372.70
7343.54, 27336.46, 43372.70
9820.88, 26331.75, 42930.87
9820.88, 26331.75, 42930.87
9820.88, 26331.75, 42930.87
9820.88, 26331.75, 42930.87
9820.88, 26331.75, 42930.87
9820.88, 26331.75, 42930.87
9820.88, 26331.75, 42930.87
9820.88, 25620.09, 41973.58
9820.88, 25620.09, 41973.58
9820.88, 25620.09, 41973.58
9820.88, 25620.09, 41973.58
9820.88, 25620.09, 41973.58
9820.88, 25620.09, 41973.58
9820.88, 25620.09, 41973.58
9820.88, 25620.09, 41973.58
9820.88, 25620.09, 41973.58
9820.88, 25620.09, 41973.58
9608.54, 26582.93, 41531.75
9608.54, 26582.93, 41531.75
9608.54, 26582.93, 41531.75
9608.54, 26582.93, 41531.75
9608.54, 26582.93, 41531.75
9608.54, 26582.93, 41531.75
9608.54, 26582.93, 41531.75
9608.54, 26582.93, 41531.75
9608.54, 26582.93, 41531.75
9608.54, 26582.93, 41531.75
11661.19, 26331.75, 41531.75
11661.19, 26331.75, 41531.75
11661.19, 26331.75, 41531.75
11661.19, 26331.75, 41531.75
11661.19, 26331.75, 41531.75
11661.19, 26331.75, 41531.75
11661.19, 26331.75, 41531.75
11661.19, 26331.75, 41531.75
11661.19, 26331.75, 41531.75
14350.87, 25368.91, 34315.24
14350.87, 25368.91, 30191.52
16828.21, 25368.91, 30191.52
16828.21, 25368.91, 30191.52
16828.21, 25368.91, 30191.52
16828.21, 25368.91, 30191.52
16828.21, 25368.91, 30191.52
16828.21, 25368.91, 30191.52
16828.21, 25368.91, 30191.52
16828.21, 25368.91, 30191.52
16828.21, 25368.91, 30191.52
17642.19, 26331.75, 26141.44
17642.19, 26331.75, 26141.44
17642.19, 26331.75, 26141.44
17642.19, 26331.75, 26141.44
17642.19, 26331.75, 26141.44
17642.19, 26331.75, 26141.44
17642.19, 26331.75, 26141.44
17642.19, 26331.75, 26141.44
17642.19, 26331.75, 26141.44
17642.19, 26331.75, 26141.44
15164.85, 28801.66, 14801.21
15164.85, 28801.66, 14801.21
15164.85, 28801.66, 14801.21
15164.85, 28801.66, 14801.21
15164.85, 28801.66, 14801.21
15164.85, 28801.66, 14801.21
15164.85, 28801.66, 14801.21
15164.85, 28801.66, 14801.21
15164.85, 28801.66, 14801.21
15164.85, 28801.66, 14801.21
15589.54, 27545.78, -10014.75
15589.54, 27545.78, -10014.75
15589.54, 27545.78, -10014.75
15589.54, 27545.78, -10014.75
18243.83, 17080.06, -31811.55
18243.83, 17080.06, -31811.55
18243.83, 17080.06, -31811.55
18243.83, 17080.06, -31811.55
18243.83, 17080.06, -31811.55
18243.83, 17080.06, -31811.55
18880.86, -1214.02, -41752.66
18880.86, -1214.02, -41752.66
18880.86, -1214.02, -41752.66
18880.86, -1214.02, -41752.66
18880.86, -1214.02, -41752.66
18880.86, -1214.02, -41752.66
18880.86, -1214.02, -41752.66
18880.86, -1214.02, -41752.66
18880.86, -1214.02, -41752.66
18880.86, -1214.02, -41752.66
17854.54, -17540.55, -31369.73
17854.54, -17540.55, -31369.73
17854.54, -17540.55, -31369.73
17854.54, -17540.55, -31369.73
17854.54, -17540.55, -31369.73
17854.54, -17540.55, -31369.73
17854.54, -17540.55, -31369.73
17854.54, -17540.55, -31369.73
17854.54, -17540.55, -31369.73
17854.54, -17540.55, -31369.73
16828.21, -24615.38, -24521.41
16828.21, -24615.38, -24521.41
16828.21, -24615.38, -24521.41
16828.21, -24615.38, -24521.41
16828.21, -24615.38, -24521.41
16828.21, -24615.38, -24521.41
16828.21, -24615.38, -24521.41
16828.21, -24615.38, -24521.41
17642.19, -17080.06, -39028.06
17642.19, -17080.06, -39028.06
17217.51, 8037.67, -44035.44
17217.51, 8037.67, -44035.44
17217.51, 8037.67, -44035.44
17217.51, 8037.67, -44035.44
17217.51, 8037.67, -44035.44
17217.51, 8037.67, -44035.44
17217.51, 8037.67, -44035.44
17217.51, 8037.67, -44035.44
17217.51, 8037.67, -44035.44
17217.51, 8037.67, -44035.44
15978.84, 25620.09, -19072.20
15978.84, 25620.09, -19072.20
15978.84, 25620.09, -19072.20
15978.84, 25620.09, -19072.20
15978.84, 25620.09, -19072.20
15978.84, 25620.09, -19072.20
15978.84, 25620.09, -19072.20
15978.84, 25620.09, -19072.20
15978.84, 25620.09, -19072.20
15978.84, 25620.09, -19072.20
16615.87, 28550.49, 18409.46
16615.87, 28550.49, 18409.46
16615.87, 28550.49, 18409.46
16615.87, 28550.49, 18409.46
16615.87, 28550.49, 18409.46
16615.87, 28550.49, 18409.46
16615.87, 28550.49, 18409.46
16615.87, 28550.49, 18409.46
16615.87, 28550.49, 18409.46
16615.87, 28550.49, 18409.46
18880.86, 23401.35, 38365.32
18880.86, 23401.35, 38365.32
18880.86, 23401.35, 38365.32
16191.18, 19047.61, 50147.38
16191.18, 19047.61, 50147.38
16191.18, 19047.61, 50147.38
16191.18, 19047.61, 50147.38
16191.18, 19047.61, 50147.38
16191.18, 19047.61, 50147.38
16191.18, 19047.61, 50147.38
15377.20, 24657.24, 37923.50
15377.20, 24657.24, 37923.50
15377.20, 24657.24, 37923.50
15377.20, 24657.24, 37923.50
15377.20, 24657.24, 37923.50
15377.20, 24657.24, 37923.50
15377.20, 24657.24, 37923.50
15377.20, 24657.24, 37923.50
15377.20, 24657.24, 37923.50
15377.20, 24657.24, 37923.50
15164.85, 31480.89, 2135.50
15164.85, 31480.89, 2135.50
15164.85, 31480.89, 2135.50
15164.85, 31480.89, 2135.50
15164.85, 31480.89, 2135.50
15164.85, 31480.89, 2135.50
15164.85, 31480.89, 2135.50
15164.85, 31480.89, 2135.50
15164.85, 31480.89, 2135.50
15164.85, 31480.89, -31811.55
14952.51, 24406.06, -31811.55
14952.51, 24406.06, -31811.55
14952.51, 24406.06, -31811.55
14952.51, 24406.06, -31811.55
14952.51, 24406.06, -31811.55
14952.51, 24406.06, -31811.55
14952.51, 24406.06, -31811.55
14952.51, 24406.06, -31811.55
15978.84, 502.35, -53092.89
15978.84, 502.35, -53092.89
18243.83, -7577.18, -50810.12
18243.83, -7577.18, -50810.12
18243.83, -7577.18, -50810.12
18243.83, -7577.18, -50810.12
18243.83, -7577.18, -50810.12
18243.83, -7577.18, -50810.12
18243.83, -7577.18, -50810.12
18243.83, -7577.18, -50810.12
18243.83, -7577.18, -50810.12
18243.83, -7577.18, -50810.12
19907.19, -9000.52, -49042.81
19907.19, -9000.52, -49042.81
19907.19, -9000.52, -49042.81
19907.19, -9000.52, -49042.81
19907.19, -9000.52, -49042.81
19907.19, -9000.52, -49042.81
19907.19, -9000.52, -49042.81
19907.19, -9000.52, -49042.81
19907.19, -9000.52, -49042.81
19907.19, -9000.52, -37702.58
24437.18, -8791.21, -37702.58
24437.18, -8791.21, -37702.58
24437.18, -8791.21, -37702.58
24437.18, -8791.21, -37702.58
24437.18, -8791.21, -37702.58
24437.18, -8791.21, -37702.58
24437.18, -8791.21, -37702.58
24437.18, -8791.21, -37702.58
24437.18, -8791.21, -37702.58
24437.18, -8791.21, -18630.38
27940.84, -7074.83, -18630.38
27940.84, -7074.83, -18630.38
29604.20, -8540.03, -147.27
29604.20, -8540.03, -147.27
29604.20, -8540.03, -147.27
29604.20, -8540.03, -147.27
29604.20, -8540.03, -147.27
29604.20, -8540.03, -147.27
29604.20, -8540.03, -147.27
29604.20, -8540.03, -147.27
27940.84, -9754.05, 12518.44
27940.84, -9754.05, 12518.44
27940.84, -9754.05, 12518.44
27940.84, -9754.05, 12518.44
27940.84, -9754.05, 12518.44
27940.84, -9754.05, 12518.44
27940.84, -9754.05, 12518.44
27940.84, -9754.05, 12518.44
27940.84, -9754.05, 12518.44
27940.84, -9754.05, 12518.44
27339.21, -11721.61, 21134.07
27339.21, -11721.61, 21134.07
27339.21, -11721.61, 21134.07
27339.21, -11721.61, 21134.07
27339.21, -11721.61, 21134.07
27339.21, -11721.61, 21134.07
27339.21, -11721.61, 21134.07
27339.21, -11721.61, 21134.07
27339.21, -11721.61, 21134.07
27339.21, -11721.61, 21134.07
25251.16, -11721.61, 26583.27
25251.16, -11721.61, 26583.27
25251.16, -11721.61, 26583.27
25251.16, -11721.61, 26583.27
25251.16, -11721.61, 26583.27
25251.16, -11721.61, 26583.27
25251.16, -11721.61, 26583.27
26312.88, -10968.08, 22017.72
26312.88, -10968.08, 22017.72
26312.88, -10968.08, 22017.72
28790.22, -8791.21, 12518.44
28790.22, -8791.21, 12518.44
28790.22, -8791.21, 12518.44
28790.22, -8791.21, 12518.44
28790.22, -8791.21, 12518.44
28790.22, -8791.21, 12518.44
28790.22, -8791.21, 12518.44
