timestamp(ms),Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
5.695,-0.481898,-0.417268,-0.737689,37363.648438,-41880.011719,-89386.804688
5.746,-0.479835,-0.401462,-0.734728,37626.519531,-41880.011719,-89386.804688
5.797,-0.50459,-0.422207,-0.738676,37626.519531,-41836.78125,-89504.25
5.848,-0.496338,-0.410353,-0.719925,38152.261719,-41361.25,-93027.570312
5.899,-0.530376,-0.423195,-0.730781,38152.261719,-41318.019531,-93027.570312
5.95,-0.549974,-0.419243,-0.725846,38415.136719,-41101.871094,-90913.578125
6.001,-0.586075,-0.378741,-0.749531,38415.136719,-41058.640625,-90913.578125
6.051,-0.525219,-0.362936,-0.777164,40255.238281,-40626.339844,-89386.804688
6.102,-0.54688,-0.342191,-0.710056,40211.425781,-40583.109375,-89504.25
6.153,-0.53966,-0.367875,-0.762361,39729.496094,-39329.441406,-95259.007812
6.204,-0.551006,-0.355033,-0.675516,39729.496094,-39329.441406,-95259.007812
6.255,-0.53966,-0.350094,-0.692293,39729.496094,-40366.960938,-93849.679688
6.308,-0.594327,-0.29675,-0.783085,39729.496094,-40323.730469,-93967.125
6.359,-0.605673,-0.2602,-0.765321,39729.496094,-39329.441406,-94554.34375
6.411,-0.586075,-0.25526,-0.761374,39729.496094,-39286.210938,-94671.789062
6.462,-0.60361,-0.240443,-0.835389,41262.914062,-36778.871094,-98782.328125
6.513,-0.619082,-0.272054,-0.599526,41262.914062,-36735.640625,-98664.882812
6.564,-0.644868,-0.244394,-0.678476,41262.914062,-36260.109375,-98077.664062
6.615,-0.613925,-0.292799,-0.693279,41262.914062,-36260.109375,-97960.21875
6.666,-0.627334,-0.289835,-0.755452,42314.402344,-36519.492188,-95259.007812
6.717,-0.666529,-0.262175,-0.598539,42314.402344,-36519.492188,-95259.007812
6.768,-0.678907,-0.220686,-0.666634,43103.019531,-36519.492188,-94554.34375
6.819,-0.668592,-0.256248,-0.69624,43059.207031,-36476.261719,-94554.34375
6.87,-0.668592,-0.23254,-0.659726,42840.148438,-36000.730469,-93849.679688
6.92,-0.705725,-0.245382,-0.620251,42840.148438,-35957.5,-93849.679688
6.971,-0.671686,-0.227601,-0.740649,43628.761719,-35741.351562,-93849.679688
7.022,-0.661372,-0.243406,-0.698214,43584.949219,-35741.351562,-93849.679688
7.074,-0.657246,-0.234515,-0.686371,43103.019531,-36778.871094,-93849.679688
7.126,-0.647963,-0.231552,-0.684398,43103.019531,-36735.640625,-93967.125
7.177,-0.725322,-0.200929,-0.612356,43628.761719,-36000.730469,-95259.007812
7.228,-0.68819,-0.202904,-0.692293,43584.949219,-36000.730469,-95259.007812
7.28,-0.738731,-0.216734,-0.593605,42840.148438,-36519.492188,-93849.679688
7.33,-0.427231,-0.259212,-0.801836,42840.148438,-36476.261719,-93967.125
7.38,-0.687158,-0.136718,-0.639001,44154.507812,-35741.351562,-96668.335938
7.43,-0.659309,-0.183147,-0.702161,44110.695312,-35698.121094,-96668.335938
7.481,-0.68097,-0.159439,-0.740649,43365.890625,-34444.449219,-96668.335938
7.532,-0.656215,-0.117949,-0.66466,43322.078125,-34401.222656,-96785.78125
7.584,-0.73048,-0.097204,-0.710056,43103.019531,-34185.070312,-98782.328125
7.636,-0.701599,-0.069545,-0.500839,43103.019531,-34141.839844,-98782.328125
7.687,-0.712945,-0.069545,-0.740649,43628.761719,-33190.78125,-101718.429688
7.738,-0.692316,-0.044848,-0.658739,43628.761719,-33147.550781,-101718.429688
7.789,-0.684064,0.014423,-0.624198,45162.183594,-30596.978516,-103832.421875
7.841,-0.768644,0.097402,-0.700188,45162.183594,-30553.748047,-103832.421875
7.891,-0.712945,0.090487,-0.620251,45425.054688,-29343.308594,-103832.421875
7.942,-0.763486,0.184333,-0.771242,45425.054688,-29300.080078,-103714.976562
7.992,-0.724291,0.316705,-0.596566,46476.542969,-27052.119141,-103127.757812
8.043,-0.703662,0.067766,-0.559064,46476.542969,-27008.888672,-103127.757812
8.093,-0.699536,0.271263,-0.624198,48009.964844,-23939.558594,-105359.195312
8.144,-0.682001,0.362146,-0.597553,47966.152344,-23896.330078,-105241.75
8.195,-0.765549,0.319668,-0.562025,47747.089844,-21388.990234,-101718.429688
8.246,-0.715008,0.366097,-0.599526,47747.089844,-21345.759766,-101600.984375
8.296,-0.713976,0.315717,-0.564986,48009.964844,-18579.039062,-100896.320312
