timestamp(ms),Mag_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,
"60.724","-25027.492188","-0.521093","0.542922","0.624198","52172.101562","6753.739746",
"60.775","-14692.421875","-0.588138","0.640719","0.614329","51733.984375","6018.830078",
"60.826","-14692.421875","-0.476741","0.518226","0.678476","51690.171875","5975.599609",
"60.877","-4474.796875","-0.481898","0.560703","1.016974","50945.367188","5500.069824",
"60.927","-4474.796875","-0.454048","0.498469","0.590644","50901.554688","5456.839844",
"60.977","1397.40625","-0.471583","0.539959","0.663673","50156.75","5240.689941",
"61.027","1397.40625","-0.460237","0.539959","0.769269","50156.75","5240.689941",
"61.078","6447.5","-0.467457","0.572558","0.709069","51208.238281","5500.069824",
"61.128","6447.5","-0.340588","0.48859","0.827494","51164.425781","5456.839844",
"61.178","13024.359375","-0.355028","0.45204","0.724859","49105.261719","4203.169922",
"61.229","13024.359375","-0.291078","0.508347","0.877825","49061.449219","4159.939941",
"61.28","19601.226562","-0.279732","0.383878","0.812691","48097.585938","3684.409912",
"61.33","19601.226562","-0.265291","0.505384","0.884733","48053.773438","3641.179932",
"61.381","24064.09375","-0.240536","0.439198","0.864009","46783.226562","2690.119873",
"61.432","24064.09375","-0.210624","0.421417","0.867956","46739.414062","2690.119873",
"61.483","29114.1875","-0.159051","0.354243","0.875851","45731.738281","2430.73999",
"61.533","29114.1875","-0.167303","0.416477","0.867956","45731.738281","2430.73999",
"61.585","32872.398438","-0.129139","0.377951","0.977499","45994.609375","1911.979858",
"61.637","32872.398438","-0.095101","0.315717","0.90151","45950.800781","1911.979858",
"61.688","37217.828125","-0.100258","0.415489","1.013027","44461.191406","1133.839966",
"61.739","37217.828125","-0.049716","0.255458","0.936051","44461.191406","1133.839966",
"61.79","38627.15625","-0.072408","0.399684","1.025856","44461.191406","96.319824",
"61.841","38627.15625","0.024549","0.17643","0.895589","44417.378906","96.319824",
"61.892","45321.453125","-0.097163","0.511311","0.988355","43146.832031","-1416.72998",
"61.944","45204.015625","0.023517","0.177418","0.906444","43103.019531","-1373.5",
"61.995","44499.359375","-0.071377","0.386842","0.925195","42883.960938","-1157.350098",
"62.047","44499.359375","0.043115","0.193223","0.975525","42840.148438","-1157.350098",
"62.099","49666.890625","0.000825","0.251506","0.962696","41569.597656","-2713.629883",
"62.151","49666.890625","0.061681","0.113208","0.931116","41525.785156","-2713.629883",
