timestamp(ms),Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,
"56.878","0.177205","-0.094241","0.855127","19970.285156","-28003.179688","48962.21875",
"56.929","0.226715","-0.309592","1.28343","18436.865234","-26792.740234","49666.890625",
"56.982","0.208149","-0.047812","1.032764","18393.052734","-26749.509766","49666.890625",
"57.033","0.156576","-0.089302","0.750518","18173.992188","-24501.548828","53307.65625",
"57.086","0.276225","0.018374","1.013027","18130.181641","-24458.318359","53307.65625",
"57.137","0.320578","0.025289","1.119609","17385.376953","-22426.509766","54012.3125",
"57.189","0.31542","0.057888","0.925195","17341.564453","-22383.279297","54012.3125",
"57.24","0.336049","0.210017","0.938024","16640.572266","-19616.558594","55539.09375",
"57.291","0.35771","0.131977","0.818612","16596.761719","-19486.869141","55539.09375",
"57.342","0.389685","0.270276","1.108754","15851.957031","-10667.949219","61293.84375",
"57.393","0.401031","0.141855","0.688345","15808.144531","-10581.490234","61176.40625",
"57.444","0.371119","0.483651","0.851179","15063.341797","-4486.060059","59767.078125",
"57.495","0.446416","0.270276","0.853153","15019.529297","-4442.830078","59649.625",
"57.546","0.38556","0.408575","0.789006","14011.853516","-1157.350098","57653.078125",
"57.596","0.446416","0.449076","0.915326","14011.853516","-1114.120117","57653.078125",
"57.647","0.415472","0.366097","0.789993","14011.853516","2949.5","57653.078125",
"57.698","0.380402","0.47476","0.765321","14011.853516","2992.72998","57653.078125",
"57.749","0.401031","0.477724","0.880786","14537.597656","3684.409912","59179.859375",
"57.8","0.43507","0.372024","0.656765","14493.785156","3641.179932","59062.40625",
"57.851","0.44229","0.405611","0.852166","14011.853516","2430.73999","57653.078125",
"57.901","0.48458","0.374988","0.98046","13968.041016","2473.969971","57653.078125",
"57.952","0.446416","0.391781","0.80677","13529.919922","2949.5","59767.078125",
"58.003","0.439195","0.211005","0.794927","13486.109375","2906.27002","59767.078125",
"58.054","0.452604","0.322632","0.783085","12478.433594","-1676.109863","62115.953125",
"58.104","0.445384","0.088511","0.9173","12478.433594","-1719.339844","61998.515625",
"58.154","0.466013","0.111232","1.006119","13267.048828","-6820.47998","60589.1875",
"58.204","0.444353","0.12111","0.943946","13223.236328","-6820.47998","60589.1875",
"58.255","0.352553","0.153709","0.789006","12741.304688","-8592.910156","62820.609375",
"58.306","0.430944","-0.001383","0.855127","12697.492188","-8636.140625","62703.171875",
"58.358","0.382465","-0.207844","1.035725","12478.433594","-13737.279297","56948.421875",
"58.41","0.386591","-0.054727","0.99921","12478.433594","-13780.509766","56830.96875",
"58.463","0.316452","-0.173269","0.900523","13792.792969","-18838.419922","52602.984375",
"58.515","0.231872","-0.180184","0.940985","13792.792969","-18838.419922","52602.984375",
"58.567","0.198865","-0.213771","0.881772","15326.212891","-20654.080078","53307.65625",
"58.618","0.22362","-0.118937","1.001184","15326.212891","-20654.080078","53190.203125",
