timestamp(ms),AccelX,AccelY,AccelZ,Accelx,Accely,Accelz,
"1739559395.072",,"-773.2",,,,,
"1739559395.075",,,"-33248.0094",,,,
"1739559395.076",,,,"59",,,
"1739559395.077",,,,,"-53",,
"1739559395.079",,,,,,"-735",
"1739559395.086","-7669.343",,,,,,
"1739559395.087",,"-773.2",,,,,
"1739559395.089",,,"-33248.0094",,,,
"1739559395.091",,,,"59",,,
"1739559395.093",,,,,"-53",,
"1739559395.094",,,,,,"-735",
"1739559395.101","-7669.343",,,,,,
"1739559395.103",,"-773.2",,,,,
"1739559395.106",,,"-33248.0094","59",,,
"1739559395.108",,,,,"-53",,
"1739559395.11",,,,,,"-735",
"1739559395.117","-7669.343",,,,,,
"1739559395.119",,"-773.2",,,,,
"1739559395.121",,,"-33248.0094",,,,
"1739559395.123",,,,"59",,,
"1739559395.124",,,,,"-53",,
"1739559395.126",,,,,,"-735",
"1739559395.133","-7669.343",,,,,,
"1739559395.134",,"-773.2",,,,,
"1739559395.136",,,"-33248.0094",,,,
"1739559395.138",,,,"59",,,
"1739559395.139",,,,,"-53",,
"1739559395.141",,,,,,"-735",
"1739559395.148","-7669.343",,,,,,
"1739559395.149",,"-773.2",,,,,
"1739559395.151",,,"-33248.0094",,,,
"1739559395.153",,,,"59",,,
"1739559395.155",,,,,"-53",,
"1739559395.156",,,,,,"-735",
"1739559395.164","-7669.343",,,,,,
"1739559395.166",,"-1640.693",,,,,
"1739559395.167",,,"-32870.632",,,,
"1739559395.169",,,,"59",,,
"1739559395.17",,,,,"-76",,
"1739559395.172",,,,,,"-729",
"1739559395.18","-7669.343",,,,,,
"1739559395.181",,"-1640.693",,,,,
"1739559395.182",,,"-32870.632",,,,
"1739559395.184",,,,"59",,,
"1739559395.186",,,,,"-76",,
"1739559395.187",,,,,,"-729",
"1739559395.194","-7669.343",,,,,,
"1739559395.196",,"-1640.693",,,,,
"1739559395.198",,,"-32870.632",,,,
"1739559395.199",,,,"59",,,
"1739559395.201",,,,,"-76",,
"1739559395.203",,,,,,"-729",
"1739559395.212","-7669.343",,,,,,
"1739559395.214",,"-1640.693","-32870.632",,,,
"1739559395.216",,,,"59",,,
"1739559395.218",,,,,"-76",,
"1739559395.219",,,,,,"-729",
"1739559395.226","-7669.343",,,,,,
"1739559395.228",,"-1640.693",,,,,
"1739559395.23",,,"-32870.632",,,,
"1739559395.231",,,,"59",,,
"1739559395.233",,,,,"-76",,
"1739559395.235",,,,,,"-729",
"1739559395.241","-7669.343",,,,,,
"1739559395.243",,"-1640.693",,,,,
"1739559395.245",,,"-32870.632",,,,
"1739559395.246",,,,"59",,,
"1739559395.248",,,,,"-76",,
"1739559395.25",,,,,,"-729",
"1739559395.257","-6954.939",,,,,,
"1739559395.259",,"-2545.904",,,,,
"1739559395.261",,,"-31675.336",,,,
"1739559395.262",,,,"76",,,
"1739559395.264",,,,,"-100",,
"1739559395.266",,,,,,"-710",
"1739559395.272","-6954.939",,,,,,
"1739559395.274",,"-2545.904",,,,,
"1739559395.276",,,"-31675.336",,,,
"1739559395.277",,,,"76",,,
