timestamp(ms),AccelX,AccelY,AccelZ,Accelx,Accely,Accelz,
"1739557826.228",,,"0.999",,,,
"1739557826.23",,,,"-18",,,
"1739557826.231",,,,,"-25",,
"1739557826.233",,,,,,"987",
"1739557826.239","-0.007",,,,,,
"1739557826.241",,"0.016",,,,,
"1739557826.243",,,"0.998",,,,
"1739557826.244",,,,"-8",,,
"1739557826.246",,,,,"-24",,
"1739557826.247",,,,,,"981",
"1739557826.254","-0.007",,,,,,
"1739557826.256",,"0.016",,,,,
"1739557826.257",,,"0.998",,,,
"1739557826.259",,,,"-10",,,
"1739557826.26",,,,,"-21",,
"1739557826.262",,,,,,"984",
"1739557826.268","-0.007",,,,,,
"1739557826.27",,"0.017",,,,,
"1739557826.271",,,"0.998",,,,
"1739557826.273",,,,"-14",,,
"1739557826.274",,,,,"-17",,
"1739557826.276",,,,,,"992",
"1739557826.283","-0.008",,,,,,
"1739557826.284",,"0.016",,,,,
"1739557826.286",,,"0.998",,,,
"1739557826.287",,,,"-15",,,
"1739557826.289",,,,,"-20",,
"1739557826.291",,,,,,"986",
"1739557826.297","-0.008",,,,,,
"1739557826.299",,"0.015",,,,,
"1739557826.3",,,"0.998",,,,
"1739557826.302",,,,"-15",,,
"1739557826.303",,,,,"-26",,
"1739557826.305",,,,,,"989",
"1739557826.311","-0.008",,,,,,
"1739557826.313",,"0.015",,,,,
"1739557826.314",,,"0.998",,,,
"1739557826.316",,,,"-15",,,
"1739557826.318",,,,,"-24",,
"1739557826.319",,,,,,"986",
"1739557826.326","-0.008",,,,,,
"1739557826.327",,"0.016",,,,,
"1739557826.329",,,"0.997",,,,
"1739557826.33",,,,"-16",,,
"1739557826.332",,,,,"-15",,
"1739557826.333",,,,,,"986",
"1739557826.34","-0.007",,,,,,
"1739557826.341",,"0.016",,,,,
"1739557826.343",,,"0.998",,,,
"1739557826.344",,,,"-11",,,
"1739557826.346",,,,,"-19",,
"1739557826.348",,,,,,"990",
"1739557826.354","-0.008",,,,,,
"1739557826.355",,"0.016",,,,,
"1739557826.357",,,"0.998",,,,
"1739557826.358",,,,"-14",,,
"1739557826.36",,,,,"-20",,
"1739557826.361",,,,,,"987",
